City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Tiarei,PF,-17.5333,-149.3333,82.0,68,3,3.56,clear sky
303,Cururupu,BR,-1.8283,-44.8683,73.29,88,10,2.08,clear sky
304,Vrangel,RU,42.7297,133.0839,78.94,81,39,6.08,scattered clouds
305,Along,IN,28.1667,94.7667,78.1,98,100,0.45,overcast clouds
306,Codrington,AU,-38.2667,141.9667,57.09,85,98,18.66,overcast clouds
307,Hurghada,EG,27.2574,33.8129,83.26,45,0,12.5,clear sky
308,Nemuro,JP,43.3236,145.575,65.19,87,0,8.52,clear sky
309,Eldoret,KE,0.5204,35.2699,50.81,90,84,2.13,broken clouds
310,Khatanga,RU,71.9667,102.5,59.74,59,70,1.99,broken clouds
311,Norman Wells,CA,65.282,-126.8329,61.52,74,77,10.42,broken clouds
312,Namatanai,PG,-3.6667,152.4333,82.9,72,98,1.66,light rain
313,Yaan,NG,7.3833,8.5667,69.96,93,100,6.17,overcast clouds
314,Ucluelet,CA,48.9329,-125.5528,80.04,84,15,1.01,few clouds
315,Embu-Guacu,BR,-23.8534,-46.8396,67.51,39,0,4.76,clear sky
316,Bambous Virieux,MU,-20.3428,57.7575,69.64,61,9,11.05,clear sky
317,Brae,GB,60.3964,-1.353,55.31,93,11,4.99,few clouds
318,Djambala,CG,-2.5447,14.7533,66.07,73,19,4.36,few clouds
319,Grindavik,IS,63.8424,-22.4338,47.55,100,75,19.57,light intensity drizzle rain
320,Komsomolskiy,UZ,40.4272,71.7189,83.12,32,0,11.5,clear sky
321,Maragogi,BR,-9.0122,-35.2225,73.54,87,18,11.16,few clouds
322,Kuytun,RU,54.3419,101.5036,72.45,51,7,7.67,clear sky
323,Mumford,GH,5.2618,-0.759,73.9,85,63,9.75,broken clouds
324,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,75.79,61,0,6.71,clear sky
325,Luang Prabang,LA,19.8856,102.1347,75.83,99,100,1.1,overcast clouds
326,Knysna,ZA,-34.0363,23.0471,66.58,44,91,8.52,overcast clouds
327,Garzon,CO,2.1959,-75.6278,68.41,86,100,2.89,overcast clouds
328,Ayagoz,KZ,47.9714,80.4392,81.93,33,46,4.09,scattered clouds
329,Cockburn Town,TC,21.4612,-71.1419,82.13,83,100,16.49,overcast clouds
330,Pont-Saint-Esprit,FR,44.2549,4.6474,74.12,57,24,9.08,few clouds
331,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,86,57,7.52,broken clouds
332,Gadarwara,IN,22.9167,78.7833,75.83,87,100,14.5,overcast clouds
333,Alyangula,AU,-13.8483,136.4192,79.38,52,66,13.0,broken clouds
334,Chokurdakh,RU,70.6333,147.9167,54.23,43,39,8.72,scattered clouds
335,Talnakh,RU,69.4865,88.3972,59.67,89,99,3.47,overcast clouds
336,Faanui,PF,-16.4833,-151.75,78.06,67,48,8.75,scattered clouds
337,Iracoubo,GF,5.4802,-53.2011,76.68,88,100,6.24,overcast clouds
338,Tagusao,PH,9.1924,117.8141,86.0,72,100,13.56,overcast clouds
339,Makat,KZ,47.6469,53.3463,75.76,33,0,8.72,clear sky
340,Harper,LR,4.375,-7.7169,75.76,77,58,7.02,broken clouds
341,Yulara,AU,-25.2406,130.9889,69.64,21,0,8.05,clear sky
342,Huittinen,FI,61.1833,22.7,58.41,88,26,1.23,scattered clouds
343,Sergach,RU,55.5308,45.4661,57.33,56,76,5.64,broken clouds
344,Oppdal,NO,62.5943,9.6912,59.59,70,8,7.58,clear sky
345,Shizunai,JP,42.3339,142.3669,73.35,77,14,9.19,few clouds
